type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,44,6371,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Townhouse End Unit,One story,Good,Average,2009&2010,Gable,Standard (Composite) Shingle,Vinyl Siding,128,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters&Unfinished,733,625,1358,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1358,0,1358,1,2,2,1,Good,6,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,484,Average/Typical,Paved,192,35,No,No,No,Jun,2010,Home just constructed and sold,Home was not completed when last assessed,224000
2-STORY 1946 & NEWER,Residential Low-Density,72,7226,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,798,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,798,842,1640,0,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,595,Average/Typical,Paved,0,45,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,183000
1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,60,6000,Paved,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Old Town,Normal,2fmCon,One story,Below Average,Below Average,1953,Gable,Standard (Composite) Shingle,Metal Siding,0,Fair&Average/Typical,Cinder Block,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,936,936,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,936,0,936,0,1,2,1,Average/Typical,4,Minor Deductions 2,0,No,Detached from home,Unfinished,2,576,Average/Typical,Paved,0,32,No,No,No,Feb,2009,Warranty Deed - Conventional,Normal Sale,93000
2-STORY 1946 & NEWER,Residential Low-Density,0,12394,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Good,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,847,886,1733,0,2,3,1,Good,7,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,2,433,Average/Typical,Paved,100,48,No,No,No,Oct,2007,Warranty Deed - Conventional,Sale between family members,225000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9900,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,1940&1950,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,778,778,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,944,545,1489,0,2,3,1,Average/Typical,7,Typical Functionality,1,Good,Detached from home,Unfinished,1,240,Average/Typical,Paved,335,0,No,Good Wood,No,Jul,2009,Warranty Deed - Conventional,Normal Sale,139500
1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,81,11216,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,One story,Very Good,Average,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Good,No Exposure,Unfinished,0,1489,1489,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1489,0,1489,0,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,776,Average/Typical,Paved,0,140,No,No,No,Jun,2006,Home just constructed and sold,Home was not completed when last assessed,232600
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,114,14803,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,"Near positive off-site feature--park, greenbelt, etc",Single-family Detached,One story,Very Excellent,Average,2007&2008,Hip,Standard (Composite) Shingle,Cement Board,816,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1636,442,2078,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2084,0,2084,1,2,2,1,Excellent,7,Typical Functionality,1,Good,Attached to the home,Finished,3,1220,Average/Typical,Paved,188,45,No,No,No,Jun,2008,Home just constructed and sold,Home was not completed when last assessed,385000
1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,50,6130,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Average,Above Average,1924&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,784,0,784,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,784,0,784,1,1,2,1,Good,5,Typical Functionality,0,No,No,No,0,0,No,Paved,0,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,109500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8529,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Single-family Detached,One story,Good,Average,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,20,1434,1454,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1434,0,1434,0,2,3,1,Good,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,527,Average/Typical,Paved,290,39,No,No,No,Apr,2009,Warranty Deed - Conventional,Normal Sale,189000
2-STORY 1946 & NEWER,Residential Low-Density,0,28698,Paved,No alley access,Moderately Irregular,Depression,"All public Utilities (E,G,W,& S)",Cul-de-sac,Severe Slope,Clear Creek,Normal,Single-family Detached,Two-story,Average,Average,1967,Flat,Gravel & Tar,Plywood,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Good,Good Exposure,Low Quality&Average Living Quarters,249,0,1013,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1160,966,2126,0,2,3,1,Average/Typical,7,Minor Deductions 2,0,No,Attached to the home,Finished,2,538,Average/Typical,Paved,486,0,No,No,No,Jun,2009,Warranty Deed - Conventional,Abnormal Sale,185000
2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2544,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Twnhs,Two-story,Good,Average,2005,Gable,Standard (Composite) Shingle,Metal Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,520,623,1223,0,2,2,1,Good,4,Typical Functionality,0,No,Detached from home,Rough Finished,2,480,Average/Typical,Paved,0,166,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,147400
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,11900,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1957,Gable,Standard (Composite) Shingle,Hard Board,387,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,1040,352,1392,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1392,0,1392,1,1,3,1,Average/Typical,6,Typical Functionality,2,Good,Attached to the home,Rough Finished,2,458,Average/Typical,Paved,0,0,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,166000
2-STORY PUD - 1946 & NEWER,Floating Village Residential,30,3180,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Townhouse End Unit,Two-story,Good,Average,2005,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,520,600,1200,0,2,2,1,Good,4,Typical Functionality,0,No,Detached from home,Rough Finished,2,480,Average/Typical,Paved,0,166,No,No,No,Jun,2006,Warranty Deed - Conventional,Normal Sale,151000
2-STORY 1946 & NEWER,Residential Low-Density,44,9548,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Above Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,223,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,483,458,941,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,941,888,1829,1,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,613,Average/Typical,Paved,192,39,No,No,No,Jan,2010,Warranty Deed - Conventional,Normal Sale,237000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10004,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Above Average,1964,Gable,Standard (Composite) Shingle,Hard Board,180,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Below Average Living Quarters,196,975,1516,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1516,0,1516,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,472,Average/Typical,Paved,0,0,No,No,No,Feb,2009,Warranty Deed - Conventional,Normal Sale,167000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,7875,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1961,Gable,Standard (Composite) Shingle,Vinyl Siding,136,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,572,572,1144,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1144,0,1144,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Unfinished,2,456,Average/Typical,Paved,0,0,No,Good Wood,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,139950
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Below Average,Good,1950&1995,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,442,625,1067,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1067,0,1067,0,2,2,1,Good,4,Minor Deductions 2,0,No,Attached to the home,Unfinished,2,436,Average/Typical,Paved,290,0,No,No,No,Feb,2010,Warranty Deed - Conventional,Normal Sale,128000
1-STORY 1945 & OLDER,Residential Medium Density,90,8100,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Average,Above Average,1948&1973,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,338,1221,1559,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1559,0,1559,1,1,2,1,Average/Typical,5,Minor Deductions 2,0,No,Detached from home,Unfinished,2,812,Average/Typical,Paved,0,116,No,Good Wood,No,Jun,2007,Court Officer Deed/Estate,Normal Sale,153500
2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1680,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Briardale,Normal,Twnhs,Two-story,Above Average,Average,1973,Gable,Standard (Composite) Shingle,Hard Board,158,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,330,153,483,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,483,504,987,1,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,264,Average/Typical,Paved,0,0,No,No,No,Nov,2008,Warranty Deed - Conventional,Normal Sale,100000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9525,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Average,Above Average,1995&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1099,1099,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1099,0,1099,0,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Unfinished,1,352,Average/Typical,Paved,278,0,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,144000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,70,11767,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1946&1995,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,352,416,768,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,768,432,1200,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,1,240,Average/Typical,Paved,0,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,130500
2-STORY 1945 & NEWER,Residential High-Density,0,12155,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Single-family Detached,Two-story,Above Average,Very Good,1925&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,156,516,672,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,810,672,1482,0,2,4,1,Fair,7,Typical Functionality,0,No,Detached from home,Unfinished,1,400,Average/Typical,Partial Pavement,0,0,No,No,No,Mar,2008,Warranty Deed - Conventional,Normal Sale,140000
2-STORY 1945 & NEWER,Residential Medium Density,60,10440,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,Two-story,Average,Very Good,1904&2002,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,650,650,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,958,581,1539,0,2,3,1,Good,8,Typical Functionality,1,Poor,Detached from home,Unfinished,2,686,Good&Average/Typical,Partial Pavement,70,78,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,157500
SPLIT OR MULTI-LEVEL,Residential Low-Density,82,9020,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,Split Level,Above Average,Good,1966,Gable,Standard (Composite) Shingle,Hard Board,183,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec Room&Average Living Quarters,312,276,1127,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1165,0,1165,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,490,Good,Paved,0,129,No,Good Privacy,No,May,2008,Warranty Deed - Conventional,Normal Sale,174900
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,80,8000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Adjacent to arterial street&Normal,Duplex,One story,Average,Below Average,1961,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1800,1800,Gas forced warm air furnace,Excellent,No,Standard Circuit Breakers & Romex,1800,0,1800,0,2,6,2,Average/Typical,10,Typical Functionality,0,No,No,No,0,0,No,Paved,0,0,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,141000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,100,12665,Paved,Gravel,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,1915&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,876,876,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,876,540,1416,0,1,4,1,Average/Typical,7,Typical Functionality,1,Good,Detached from home,Unfinished,3,720,Average/Typical,Paved,418,0,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,153900
